lsid,osmid_start,osmid_end
338383184,3497558893,3454596638
361092594,1037159432,3454596638
340424586,3476472671,3476472675
340450257,3476789627,3476789625
144249644,3476789628,3476789627
343960955,3507439775,3507439776
173642342,1846239623,3509321705
42487496,33781422,3616265034
361092041,3656115322,3656115320
361092042,3656116808,3656116810
89406347,1037015349,3656116815
342830641,3659404704,3656116815
361611086,3660711173,3660711166
361618483,3660778252,3660778266
361618492,3660778281,3660778286
361618477,3660778286,3660778287
362160688,3665217774,3665217780
362380750,3667026668,3667026665
364381199,3684148736,3684149831
365598305,3695984451,3695984452
377312029,3806854233,3806854234
379798970,3831382272,3831382270
959788581,5527294056,3831461085
379803812,3831461080,3831461085
380368108,3837049702,3837049703
380634861,3839568237,3839568258
382671620,3858930278,3858930279
383806986,3871233438,3871233439
384368889,5954272412,3876695389
27773603,304963520,3880280642
385566771,6328537884,3889079786
272598866,6299200700,3920016339
388823850,6299200697,3920016340
390022378,3931814472,3931814473
390062425,3932162149,3932162158
391191399,3943758656,3943758666
34960899,3978653240,3978653239
397223654,4000404578,4000404562
53334051,800947773,4009662402
398118470,4008951472,4014514918
65442862,4016689947,4016689948
406443386,4085105588,4085107393
406443399,4085107451,4085107452
406572466,4086272906,4086272889
240703772,2484121659,4179432157
419050029,4192263532,4192263534
431983806,4192265959,4192265958
420028915,4200151820,4200151806
420094162,4200734529,4200734531
420094058,4200734543,4200734538
420100217,4200788587,4200790439
420876813,4207714598,4207714600
350687559,17889754,4209786745
422504870,4074766301,4222595838
422504726,6681659321,4222595838
356077611,4225950110,4225950189
422866780,7545659143,4225950189
423225014,4229040505,4229040506
422504775,4222595798,4238114863
232811269,4238115518,4238115520
221387185,4244898335,4244896181
344101637,3508604379,4255412452
34353490,7884268704,4292841197
430174389,4294454519,4294454523
430174538,4294454522,4294454523
182002398,4294454695,4294454693
89202791,1035299644,4296996042
96657565,4299003110,4299002951
430935568,4301923803,4301923804
431907251,4311413790,4311413791
431907259,4311413944,4311413945
431983716,4311877975,4311877978
430432903,1450714344,4311877978
432098791,4312626689,4312626690
53333873,3707826475,4327280827
81112774,6417733153,4327746015
435543107,4334501648,4334501647
53188951,673001439,4357611406
41927356,519276075,4394134150
441709241,4394190166,4394190167
442019510,4397103412,4397103416
28353479,4431734258,4431734257
128397248,4491962020,4491962808
453523338,4502462803,4502462802
125483133,1393632202,4573655770
839973468,4721782084,4670733904
478078105,4713337551,4713337550
112703023,1280486137,4850001883
493061127,4850005643,4850001883
158018531,4909413232,4909413231
24257659,262636470,4961324272
25152737,308832454,4961899137
506462559,4961899846,4961899845
157996497,5409849658,4961899845
512106024,5007812152,5007812153
529211787,5141325729,5141325730
536070899,5193937363,5193940248
857809029,308841435,5193941240
115628892,1305844602,1305844317
223558524,1311839146,1311839166
142146288,1321463254,1321463240
