lsid,highway
361196853,footway
361196854,footway
361196855,footway
361196856,footway
361196857,footway
361196858,footway
361196859,footway
361196860,footway
361199313,footway
361199314,footway
361199315,footway
361199316,footway
361199317,steps
361199318,footway
361199319,footway
361199320,footway
361199321,footway
361199322,footway
361199323,footway
361199324,footway
361199325,footway
361199326,footway
361199327,footway
361199328,footway
247667815,trunk_link
247667817,primary
247667818,primary
247667819,trunk
247667820,trunk
247667823,trunk_link
247667824,trunk_link
247667827,trunk_link
247667828,trunk_link
247667829,trunk
247667831,trunk_link
247989059,service
247989060,steps
247989061,steps
248018905,trunk
248018908,trunk
248869751,footway
248869753,footway
248869754,footway
248887252,residential
248887253,service
857557289,footway
857557290,steps
857557291,footway
857557292,footway
857809019,service
857809026,unclassified
857809028,service
857809029,service
857809034,service
857809035,footway
857809038,footway
857809039,footway
857809040,footway
857809041,service
857809042,service
857809043,service
857809044,service
857809045,service
857809046,service
858166082,footway
858166083,footway
858166084,footway
858166085,footway
858166086,footway
858166087,footway
858166088,steps
858166089,footway
858166090,footway
858166091,footway
858166092,footway
858166093,steps
858166094,footway
858166095,footway
858166096,steps
858166097,footway
858166098,steps
858166099,footway
858166100,service
858166101,service
858413388,footway
858413389,footway
858413390,steps
858413391,footway
858413392,steps
858413393,steps
858413394,footway
858413395,footway
858413396,footway
858506178,tertiary
858506179,tertiary
858506180,tertiary
858506181,tertiary
858506184,residential
858506185,residential
858506186,service
858506197,residential
858854394,service
858881567,residential
858881568,tertiary
858881569,secondary
858881570,secondary
858881571,secondary
858881572,cycleway
858881573,residential
858881574,footway
859187014,residential
859189858,service
860162027,footway
860162028,footway
860162029,footway
860162030,footway
860162031,footway
860162032,footway
860162033,footway
860764629,footway
861095016,tertiary
861341497,steps
862077715,service
862077716,primary
862077717,service
862077718,primary
862077719,primary
862077720,primary
862077721,tertiary
862077722,primary
862077723,service
862077724,primary
862077725,secondary
862077726,primary
862077729,secondary
862077730,service
862077731,service
862077732,service
862077735,primary
862077736,primary
862077738,tertiary
862077739,tertiary
862077740,primary
862077741,primary
862077742,primary
862523189,residential
863521724,footway
863521725,footway
863521726,footway
863521727,footway
863523004,service
863523005,secondary
863523006,secondary
863523007,service
863723269,service
863723270,service
863725227,footway
863725228,footway
863725229,steps
863725230,footway
863729419,footway
863729420,steps
863729421,footway
863798749,tertiary
863798750,primary
863798751,service
863798752,primary
863798753,primary
863798754,primary
863798755,service
863798756,service
863798757,service
863798758,service
317548560,residential
317548561,residential
318077648,service
318077650,residential
318966471,service
318966472,service
318966474,service
318966475,service
318966476,service
318966477,service
318966478,service
318966479,service
318975244,footway
318975245,footway
318975246,steps
318975767,footway
318975768,residential
318975769,residential
318975770,residential
318991470,secondary
645934715,cycleway
648058310,service
648058316,service
648425186,service
648707782,service
648707783,service
648707784,service
648707785,service
648707788,service
648707795,tertiary
648707810,footway
650079718,service
722707024,footway
722707025,footway
722707026,footway
722707028,footway
722707029,footway
722707030,cycleway
722707031,residential
722707032,residential
722707033,footway
722707034,footway
722707035,footway
722707036,footway
722707037,steps
722707038,footway
722707039,footway
722707040,steps
722707041,footway
722707042,steps
722707043,footway
722707044,footway
722707046,steps
722707047,footway
722707048,service
722707052,pedestrian
722707053,footway
722707054,footway
722707055,footway
722707056,footway
722707057,footway
722707059,footway
722707060,living_street
722707061,living_street
722707062,living_street
722707063,living_street
722707068,footway
722707072,footway
722707073,steps
722707074,service
722707077,residential
723371079,footway
723371080,path
724500149,service
724500150,service
724500151,footway
724500152,service
724500153,service
724500154,tertiary
